components,difference,q
801185,-253810,0.900000
449922,-351263,0.950000
0,-449922,1.000000
1,1,0.000000
77,76,0.050000
957,880,0.100000
4709,3752,0.150000
14165,9456,0.200000
34863,20698,0.250000
72730,37867,0.300000
140077,67347,0.350000
254881,114804,0.400000
438312,183431,0.450000
658460,220148,0.500000
875558,217098,0.550000
1061341,185783,0.600000
1202276,140935,0.650000
1281168,78892,0.700000
1290266,9098,0.750000
1215667,-74599,0.800000
1055049,-160618,0.850000
801142,-253907,0.900000
450767,-350375,0.950000
0,-450767,1.000000
1,1,0.000000
84,83,0.050000
965,881,0.100000
4646,3681,0.150000
14603,9957,0.200000
34461,19858,0.250000
72848,38387,0.300000
140930,68082,0.350000
254792,113862,0.400000
439775,184983,0.450000
659907,220132,0.500000
876281,216374,0.550000
1062422,186141,0.600000
1204247,141825,0.650000
1282391,78144,0.700000
1288498,6107,0.750000
1217575,-70923,0.800000
1055227,-162348,0.850000
800021,-255206,0.900000
449031,-350990,0.950000
0,-449031,1.000000
1,1,0.000000
52,51,0.050000
909,857,0.100000
4657,3748,0.150000
14391,9734,0.200000
35060,20669,0.250000
72929,37869,0.300000
140622,67693,0.350000
254938,114316,0.400000
440387,185449,0.450000
658959,218572,0.500000
874860,215901,0.550000
1062583,187723,0.600000
1202541,139958,0.650000
1283324,80783,0.700000
1289806,6482,0.750000
1215710,-74096,0.800000
1054276,-161434,0.850000
800253,-254023,0.900000
450475,-349778,0.950000
0,-450475,1.000000
1,1,0.000000
79,78,0.050000
902,823,0.100000
4632,3730,0.150000
14243,9611,0.200000
34805,20562,0.250000
73021,38216,0.300000
140479,67458,0.350000
256207,115728,0.400000
440534,184327,0.450000
657948,217414,0.500000
876102,218154,0.550000
1062178,186076,0.600000
1202804,140626,0.650000
1281221,78417,0.700000
1288415,7194,0.750000
1215722,-72693,0.800000
1053646,-162076,0.850000
801593,-252053,0.900000
449400,-352193,0.950000
0,-449400,1.000000
1,1,0.000000
75,74,0.050000
982,907,0.100000
4752,3770,0.150000
14349,9597,0.200000
34554,20205,0.250000
73478,38924,0.300000
140380,66902,0.350000
255027,114647,0.400000
439782,184755,0.450000
657876,218094,0.500000
874836,216960,0.550000
1062843,188007,0.600000
1202433,139590,0.650000
1280510,78077,0.700000
1289928,9418,0.750000
1216609,-73319,0.800000
1054122,-162487,0.850000
800158,-253964,0.900000
450371,-349787,0.950000
0,-450371,1.000000
1,1,0.000000
85,84,0.050000
961,876,0.100000
4768,3807,0.150000
14254,9486,0.200000
34723,20469,0.250000
73710,38987,0.300000
140368,66658,0.350000
254985,114617,0.400000
439299,184314,0.450000
657516,218217,0.500000
874780,217264,0.550000
1060428,185648,0.600000
1201570,141142,0.650000
1281899,80329,0.700000
1289298,7399,0.750000
