components,difference,q
1,1,0.000000
208,207,0.050000
1244,1036,0.100000
5014,3770,0.150000
14803,9789,0.200000
35240,20437,0.250000
73725,38485,0.300000
140937,67212,0.350000
254931,113994,0.400000
440256,185325,0.450000
658587,218331,0.500000
873524,214937,0.550000
1062712,189188,0.600000
1202544,139832,0.650000
1280662,78118,0.700000
1289279,8617,0.750000
1216924,-72355,0.800000
1054906,-162018,0.850000
802164,-252742,0.900000
449066,-353098,0.950000
0,-449066,1.000000
1,1,0.000000
213,212,0.050000
1208,995,0.100000
4977,3769,0.150000
14894,9917,0.200000
35358,20464,0.250000
73289,37931,0.300000
140569,67280,0.350000
255186,114617,0.400000
439490,184304,0.450000
659829,220339,0.500000
875453,215624,0.550000
1062174,186721,0.600000
1201719,139545,0.650000
1282259,80540,0.700000
1289889,7630,0.750000
1215094,-74795,0.800000
1055431,-159663,0.850000
800880,-254551,0.900000
449137,-351743,0.950000
0,-449137,1.000000
1,1,0.000000
200,199,0.050000
1235,1035,0.100000
4941,3706,0.150000
14772,9831,0.200000
35298,20526,0.250000
73659,38361,0.300000
142386,68727,0.350000
255587,113201,0.400000
439154,183567,0.450000
660364,221210,0.500000
874877,214513,0.550000
1062505,187628,0.600000
1204834,142329,0.650000
1282194,77360,0.700000
1289218,7024,0.750000
1215091,-74127,0.800000
1054055,-161036,0.850000
801875,-252180,0.900000
449348,-352527,0.950000
0,-449348,1.000000
1,1,0.000000
215,214,0.050000
1167,952,0.100000
4984,3817,0.150000
14832,9848,0.200000
35188,20356,0.250000
74067,38879,0.300000
141501,67434,0.350000
254888,113387,0.400000
440162,185274,0.450000
658804,218642,0.500000
876022,217218,0.550000
1060651,184629,0.600000
1202114,141463,0.650000
1281414,79300,0.700000
1289789,8375,0.750000
1216241,-73548,0.800000
1054276,-161965,0.850000
800028,-254248,0.900000
451023,-349005,0.950000
0,-451023,1.000000
1,1,0.000000
241,240,0.050000
1212,971,0.100000
4957,3745,0.150000
14328,9371,0.200000
35139,20811,0.250000
73888,38749,0.300000
140872,66984,0.350000
254872,114000,0.400000
438523,183651,0.450000
658396,219873,0.500000
874018,215622,0.550000
1062447,188429,0.600000
1200944,138497,0.650000
1281474,80530,0.700000
1289681,8207,0.750000
1216760,-72921,0.800000
1055069,-161691,0.850000
801527,-253542,0.900000
451290,-350237,0.950000
0,-451290,1.000000
1,1,0.000000
181,180,0.050000
1225,1044,0.100000
5010,3785,0.150000
14891,9881,0.200000
35088,20197,0.250000
73724,38636,0.300000
140743,67019,0.350000
254556,113813,0.400000
440308,185752,0.450000
660401,220093,0.500000
873842,213441,0.550000
1062160,188318,0.600000
1202090,139930,0.650000
1282212,80122,0.700000
1289958,7746,0.750000
1216544,-73414,0.800000
1055475,-161069,0.850000
800029,-255446,0.900000
449947,-350082,0.950000
0,-449947,1.000000
1,1,0.000000
214,213,0.050000
1178,964,0.100000
4996,3818,0.150000
14727,9731,0.200000
35049,20322,0.250000
73363,38314,0.300000
140976,67613,0.350000
256342,115366,0.400000
441067,184725,0.450000
660130,219063,0.500000
877178,217048,0.550000
1062277,185099,0.600000
1202190,139913,0.650000
1282153,79963,0.700000
1288600,6447,0.750000
1217637,-70963,0.800000
1055720,-161917,0.850000
802005,-253715,0.900000
449972,-352033,0.950000
0,-449972,1.000000
1,1,0.000000
212,211,0.050000
1152,940,0.100000
4955,3803,0.150000
14628,9673,0.200000
35308,20680,0.250000
73355,38047,0.300000
140968,67613,0.350000
255123,114155,0.400000
439382,184259,0.450000
660021,220639,0.500000
877310,217289,0.550000
1062771,185461,0.600000
1204040,141269,0.650000
1280919,76879,0.700000
1289659,8740,0.750000
1217276,-72383,0.800000
1056045,-161231,0.850000
799751,-256294,0.900000
450813,-348938,0.950000
0,-450813,1.000000
1,1,0.000000
206,205,0.050000
1213,1007,0.100000
4958,3745,0.150000
14794,9836,0.200000
35204,20410,0.250000
74317,39113,0.300000
141538,67221,0.350000
255904,114366,0.400000
440598,184694,0.450000
658388,217790,0.500000
875282,216894,0.550000
1061663,186381,0.600000
1202728,141065,0.650000
1281526,78798,0.700000
1288470,6944,0.750000
1217431,-71039,0.800000
1054855,-162576,0.850000
801640,-253215,0.900000
449696,-351944,0.950000
0,-449696,1.000000
1,1,0.000000
218,217,0.050000
1229,1011,0.100000
4997,3768,0.150000
14863,9866,0.200000
35255,20392,0.250000
73502,38247,0.300000
140345,66843,0.350000
255745,115400,0.400000
439864,184119,0.450000
659125,219261,0.500000
874744,215619,0.550000
1061005,186261,0.600000
1201664,140659,0.650000
1281738,80074,0.700000
1289241,7503,0.750000
1216425,-72816,0.800000
1055719,-160706,0.850000
800764,-254955,0.900000
450501,-350263,0.950000
0,-450501,1.000000
1,1,0.000000
197,196,0.050000
1237,1040,0.100000
5070,3833,0.150000
14706,9636,0.200000
35456,20750,0.250000
74120,38664,0.300000
141947,67827,0.350000
255269,113322,0.400000
439590,184321,0.450000
658141,218551,0.500000
874455,216314,0.550000
1062292,187837,0.600000
1202688,140396,0.650000
1281699,79011,0.700000
1288864,7165,0.750000
1216324,-72540,0.800000
1054250,-162074,0.850000
801219,-253031,0.900000
450745,-350474,0.950000
0,-450745,1.000000
1,1,0.000000
199,198,0.050000
1167,968,0.100000
5043,3876,0.150000
14836,9793,0.200000
35089,20253,0.250000
73661,38572,0.300000
141346,67685,0.350000
254308,112962,0.400000
439050,184742,0.450000
658101,219051,0.500000
876291,218190,0.550000
1062980,186689,0.600000
1204461,141481,0.650000
1282001,77540,0.700000
1290065,8064,0.750000
1215055,-75010,0.800000
1053984,-161071,0.850000
800644,-253340,0.900000
449475,-351169,0.950000
0,-449475,1.000000
1,1,0.000000
228,227,0.050000
1249,1021,0.100000
4880,3631,0.150000
14542,9662,0.200000
34935,20393,0.250000
73788,38853,0.300000
140920,67132,0.350000
255921,115001,0.400000
440405,184484,0.450000
658516,218111,0.500000
873741,215225,0.550000
1063926,190185,0.600000
1202598,138672,0.650000
1283255,80657,0.700000
1289178,5923,0.750000
